"","zpid","latlon","street","zipcode","city","state","bedrooms","bathrooms","finishedSqFt","yearBuilt","price","rent","tax.year","tax","hoa","lat","lon"
"437",119685934,"[""37.764476"",""-122.433601""]","3608 16th St APT 2",94114,"San Francisco","CA","2","1","1114","1920","UNKNOWN","4550",NA,"803890","500",37.764476,-122.433601
"438",2108376475,"[""37.764823"",""-122.42704""]","3322 16th St APT 2",94114,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","1,167,700","4300",NA,"UNKNOWN","500""zpid""",37.764823,-122.42704
"439",53153349,"[""37.758832"",""-122.466693""]","1578 10th Ave # 1",94122,"San Francisco","CA","3","3","1908","1998","1,348,400","5450",NA,"1125680","500",37.758832,-122.466693
"440",64972368,"[""37.763355"",""-122.467675""]","1331 10th Ave # 1",94122,"San Francisco","CA","3","3","2179","UNKNOWN","1,348,400","5500",NA,"826914","500",37.763355,-122.467675
"441",2101666027,"[""37.75965"",""-122.4668""]","1532 10th Ave APT 1",94122,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","1,348,400","3600",NA,"UNKNOWN","500""zpid""",37.75965,-122.4668
"442",2097566034,"[""37.759586"",""-122.466745""]","1534 10th Ave APT 4",94122,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","1,348,400","UNKNOWN",NA,"UNKNOWN","500",37.759586,-122.466745
"443",2099695697,"[""37.76287"",""-122.4676""]","1359 10th Ave APT 4",94122,"San Francisco","CA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1,348,400","UNKNOWN",NA,"UNKNOWN","500",37.76287,-122.4676
"444",2099705080,"[""37.76277"",""-122.4676""]","1365 10th Ave APT 4",94122,"San Francisco","CA","0","1","UNKNOWN","UNKNOWN","1,348,400","UNKNOWN",NA,"UNKNOWN","500",37.76277,-122.4676
"445",2103788673,"[""37.765449"",""-122.467391""]","1222 10th Ave APT 4",94122,"San Francisco","CA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1,348,400","2995",NA,"UNKNOWN","500""zpid""",37.765449,-122.467391
"446",15145912,"[""37.755855"",""-122.414821""]","3014 22nd St # 2",94110,"San Francisco","CA","3","2","1430","1994","1,167,700","5500",NA,"451349","500",37.755855,-122.414821
"447",15151284,"[""37.755676"",""-122.41093""]","2825 22nd St # 2",94110,"San Francisco","CA","2","1","1375","1900","1,167,700","5500",NA,"1304554","500",37.755676,-122.41093
"448",64972443,"[""37.755014"",""-122.42168""]","3321 22nd St # 2",94110,"San Francisco","CA","3","2","1420","1990","1,167,700","4350",NA,"327390","500",37.755014,-122.42168
"449",67394890,"[""37.756034"",""-122.41249""]","2900 22nd St APT 2",94110,"San Francisco","CA","UNKNOWN","UNKNOWN","873","2003","1,167,700","4150",NA,"502768","500",37.756034,-122.41249
"450",2104363701,"[""37.755901"",""-122.413965""]","2986 22nd St # 2",94110,"San Francisco","CA","2","2","890","UNKNOWN","1,167,700","UNKNOWN",NA,"UNKNOWN","500",37.755901,-122.413965
"451",96049903,"[""37.755359"",""-122.416275""]","3089 22nd St # 2",94110,"San Francisco","CA","3","2","1470","2009","1,167,700","6000",NA,"973272","500",37.755359,-122.416275
"452",2099894309,"[""37.75776"",""-122.3886""]","711 22nd St APT 2",94107,"San Francisco","CA","0","1","550","UNKNOWN","1,124,600","UNKNOWN",NA,"UNKNOWN","500",37.75776,-122.3886
"453",2116820985,"[""37.755443"",""-122.41497""]","3027 22nd St APT 2",94110,"San Francisco","CA","3","1","1400","UNKNOWN","1,167,700","4500",NA,"UNKNOWN","500""zpid""",37.755443,-122.41497
"454",2109589105,"[""37.768184"",""-122.425231""]","536 14th St APT 8",94103,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,167,700","4500",NA,"UNKNOWN","500",37.768184,-122.425231
"455",2131308340,"[""37.768257"",""-122.423927""]","480 14th St APT 8",94103,"San Francisco","CA","2","2.5","1170","2009","1,167,700","4900",NA,"UNKNOWN","500""zpid""",37.768257,-122.423927
