zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax year,tax,hoa
2123813760,"[""37.758838"",""-122.419662""]",3520 20th St APT 8,94110,San Francisco,CA,2,2,UNKNOWN,UNKNOWN,"1,167,700",6350,,UNKNOWN,"500""zpid"""
63197237,"[""37.759361"",""-122.429588""]",3867 19th St # 1,94114,San Francisco,CA,UNKNOWN,4,1022,1989,"1,718,500",4450,,279317,500
67448507,"[""37.759519"",""-122.434249""]",4070 19th St # 1,94114,San Francisco,CA,2,2,1753,2003,"1,718,500",5750,,1023356,500
79847644,"[""37.762081"",""-122.389007""]",638 19th St UNIT 1,94107,San Francisco,CA,3,2,1514,2007,"1,124,600",5500,,389348,500
89237165,"[""37.759199"",""-122.438365""]",4400 19th St APT 1,94114,San Francisco,CA,1,1,740,1904,"1,718,500",3975,,652716,500
89239526,"[""37.760635"",""-122.424362""]",3620 19th St APT 1,94110,San Francisco,CA,2,2,1280,2008,"1,167,700",5297,,889330,500
2100901525,"[""37.759232"",""-122.432963""]",4011 19th St APT 1,94114,San Francisco,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1,718,500",3995,,UNKNOWN,500
2102857243,"[""37.75973"",""-122.4288""]",3822 19th St APT 1,94114,San Francisco,CA,2,2,UNKNOWN,UNKNOWN,"1,718,500",4395,,UNKNOWN,"500""zpid"""
15129215,"[""37.760305"",""-122.44041""]",4547 18th St # 2,94114,San Francisco,CA,UNKNOWN,2,1798,1985,"1,718,500",5750,,1014056,500
15144245,"[""37.761499"",""-122.428927""]",3818 18th St # 2,94114,San Francisco,CA,3,2.5,2046,1992,"1,718,500",6980,,746104,500
15144653,"[""37.76129"",""-122.4246""]",3637 18th St APT 2,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1592,UNKNOWN,"1,167,700",5000,,413052,500
59779954,"[""37.762136"",""-122.408479""]",2600 18th St STE 2,94110,San Francisco,CA,1,1.5,1053,1999,"1,167,700",3999,,553124,500
61288398,"[""37.759843"",""-122.443755""]",4735 18th St # 2,94114,San Francisco,CA,3,3,2125,2002,"1,718,500",6699,,1497288,500
79844626,"[""37.762561"",""-122.394153""]",1125 18th St APT 2,94107,San Francisco,CA,1,1,559,1914,"1,264,000",3500,,312857,500
80743467,"[""37.762378"",""-122.413391""]",3118 18th St APT 2,94110,San Francisco,CA,UNKNOWN,2,963,1998,"1,167,700",4199,,466766,500
119685990,"[""37.760822"",""-122.432044""]",3967 18th St APT 2,94114,San Francisco,CA,1,1,726,1923,"1,718,500",3900,,682233,"500""zpid"""
67394483,"[""37.756034"",""-122.41249""]",2900 22nd St APT 5,94110,San Francisco,CA,1,2,888,2003,"1,167,700",4050,,673186,500
2098505031,"[""37.755272"",""-122.425093""]",3488 22nd St APT 5,94110,San Francisco,CA,1,1,900,1929,"1,167,700",UNKNOWN,,UNKNOWN,"500""zpid"""
2127000082,"[""37.784297"",""-122.48056""]",190 21st Ave APT 3,94121,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"2,202,400",2995,,UNKNOWN,500
2127490958,"[""37.781097"",""-122.480842""]",359 21st Ave APT 3,94121,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,480,400",3250,,UNKNOWN,"500""zpid"""
59779961,"[""37.762136"",""-122.408479""]",2600 18th St STE 9,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1304,1999,"1,167,700",4500,,644712,500
80737592,"[""37.761569"",""-122.409446""]",2711 18th St APT 9,94110,San Francisco,CA,UNKNOWN,1,650,1992,"1,167,700",3750,,481565,500
80749098,"[""37.762378"",""-122.413391""]",3118 18th St APT 9,94110,San Francisco,CA,1,1.5,793,1998,"1,167,700",3800,,640989,"500""zpid"""
59779960,"[""37.762136"",""-122.408479""]",2600 18th St STE 8,94110,San Francisco,CA,1,1.5,803,1999,"1,167,700",3900,,681364,500
80736053,"[""37.761569"",""-122.409446""]",2711 18th St APT 8,94110,San Francisco,CA,1,1,650,1992,"1,167,700",3450,,442496,500
80739887,"[""37.762378"",""-122.413391""]",3118 18th St APT 8,94110,San Francisco,CA,UNKNOWN,2,906,1998,"1,167,700",4085,,376961,500
2098890813,"[""37.76096"",""-122.4299""]",3875 18th St APT 8,94114,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"1,718,500",UNKNOWN,,UNKNOWN,500
2100925342,"[""37.76146"",""-122.4247""]",3649 18th St APT 8,94110,San Francisco,CA,1,1,725,1920,"1,167,700",3400,,UNKNOWN,"500""zpid"""
2097684327,"[""37.762825"",""-122.474182""]",1345 16th Ave APT 4,94122,San Francisco,CA,1,1,UNKNOWN,1924,"1,348,400",UNKNOWN,,UNKNOWN,500
